customer_id,first_name,last_name,email,phone_number,signup_date,gender,age,is_guest,customer_status,signup_channel,loyalty_tier,initial_loyalty_tier,email_verified,marketing_opt_in,mailing_address,billing_address,loyalty_enrollment_date,clv_bucket
CUST-5102,Jesse,Guzman,jesse.guzman@hotmail.com,886.737.9402,2025-08-16,Female,68.0,False,Active,Phone,Platinum,Platinum,True,False,"433 Jill Springs, New Roberttown, CO 29158","433 Jill Springs, New Roberttown, CO 29158",2025-12-27,High
CUST-5103,Teresa,Gray,teresa.gray@hotmail.com,695-993-1034x1316,2026-03-02,Male,42.0,False,Active,Website,Bronze,Platinum,False,True,"1161 Abbott Rapids, Lindsaymouth, ND 16862","1161 Abbott Rapids, Lindsaymouth, ND 16862",2026-03-04,Low
CUST-5104,Jeremy,Johnson,jeremy.johnson@yahoo.com,(541)639-5376x7242,2025-05-14,Female,53.0,False,Active,Website,Bronze,Bronze,False,True,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832","55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",2025-06-11,Low
CUST-5105,Wendy,Rice,wendy.rice@hotmail.com,9182451462,2025-08-13,Female,42.0,False,Active,Social Media,Bronze,Silver,True,False,"653 William Course Apt. 122, Carlsonfurt, MS 78605","653 William Course Apt. 122, Carlsonfurt, MS 78605",2025-12-07,Low
CUST-5106,Rita,Harrell,rita.harrell@yahoo.com,+1-289-332-5288x0957,2026-03-27,Unknown,24.0,False,Active,Social Media,Bronze,Bronze,True,True,"USNV Stanton, FPO AE 67043","USNV Stanton, FPO AE 67043",2026-04-02,Low
CUST-5107,Kate,Miller,stacey.miller@yahoo.com,882-527-8248,2026-02-03,Male,64.0,False,Active,Website,Bronze,Bronze,True,True,"USNV Allen, FPO AE 74865","USNV Allen, FPO AE 74865",2026-04-05,Low
CUST-5108,Debra,Kim,debra.kim@hotmail.com,213.331.5098x393,2025-06-20,Unknown,37.0,False,Active,Website,Platinum,Platinum,True,,"USNS Marquez, FPO AA 88540","USNS Marquez, FPO AA 88540",2025-12-20,High
CUST-5109,Barbara,Sanchez,barbara.sanchez@yahoo.com,(331)516-5667x01065,2025-10-08,Unknown,61.0,False,Active,Website,Gold,Silver,True,False,"10518 Joshua Oval, New David, FM 75348","10518 Joshua Oval, New David, FM 75348",2026-03-25,High
CUST-5110,Timothy,Hancock,timothy.hancock@gmail.com,(960)464-7468,2025-11-18,Male,68.0,False,Active,Website,Bronze,Silver,True,True,"62473 Scott Wall Apt. 080, Port Melindaburgh, MT 64154","62473 Scott Wall Apt. 080, Port Melindaburgh, MT 64154",2026-01-08,Low
CUST-5111,Casey,Jones,casey.jones@gmail.com,(719)639-9091x6998,2026-02-17,Female,57.0,False,Active,email,Bronze,Silver,True,True,"98050 Breanna Parkway, North Susan, CO 24857","98050 Breanna Parkway, North Susan, CO 24857",2026-03-10,Low
