order_id,total_items,order_date,customer_id,email,order_channel,is_expedited,customer_tier,gross_total,net_total,total_discount_amount,payment_method,shipping_speed,shipping_cost,agent_id,actual_shipping_cost,payment_processing_fee,shipping_address,billing_address,clv_bucket,is_reactivated
ORD-22152811,3,2025-04-16T12:26:46,GUEST-100090,rjenkins@example.net,Phone,False,Platinum,1169.15,1169.15,0.0,ACH,Two-Day,45.0,CSR-0004,32.43,11.69,"7563 Rodriguez Bypass Suite 171, Port Bobby, LA 12989","7563 Rodriguez Bypass Suite 171, Port Bobby, LA 12989",High,False
ORD-21915058,2,2025-04-17T04:58:45,GUEST-100687,susan61@example.org,Web,True,Bronze,92.53,77.34,15.19,PayPal,Standard,5.0,ONLINE,4.9,2.32,"93886 Smith Summit, Seanfurt, AL 13854","93886 Smith Summit, Seanfurt, AL 13854",Low,False
ORD-50555899,2,2025-04-18T12:48:32,GUEST-103809,navarropaul@example.com,Social Media,False,Silver,409.84,409.84,0.0,Credit Card,Overnight,80.0,ONLINE,63.25,10.25,"3120 Vazquez Crossroad Suite 266, Harrisonfort, AR 91360","3120 Vazquez Crossroad Suite 266, Harrisonfort, AR 91360", Medium ,False
ORD-79960138,1,2025-04-19T12:09:51,CUST-10496,emily.miller@gmail.com,Web,False,Silver,281.26,281.26,0.0,PayPal,STANDARD,5.0,ONLINE,4.64,8.44,"USNS Hansen, FPO AP 87691","USNS Hansen, FPO AP 87691",Medium,False
ORD-13491139,7,2025-04-19T17:59:46,GUEST-101747,underwooddaniel@example.net,Phone,False,Platinum,1441.17,1399.11,42.06,Credit Card,Two-Day,45.0,CSR-0019,40.96,34.98,"USNV Davis, FPO AE 91277","USNV Davis, FPO AE 91277",High,False
ORD-08008569,2,2025-04-19T20:25:01,GUEST-100537,william93@example.com,Web,False,Platinum,1327.89,1327.89,0.0,ACH,Standard,5.0,ONLINE,4.57,13.28,"371 James Mall, North Joseph, KY 20654","371 James Mall, North Joseph, KY 20654",High,False
ORD-58953743,5,2025-04-19T23:07:26,GUEST-101341,taylorarnold@example.net,Web,True,Platinum,1257.55,1257.55,0.0,Apple Pay,  standard ,5.0,ONLINE,4.08,25.15,"514 James Viaduct Apt. 269, Leahborough, NE 24783","514 James Viaduct Apt. 269, Leahborough, NE 24783",High,False
ORD-03036210,7,2025-04-20T14:46:33,GUEST-102081,rosepayne@example.org,Social Media,False,Platinum,1626.61,1618.0,8.61,PayPal,Standard,5.0,ONLINE,4.44,48.54,"4963 Taylor Summit, Grantport, NC 75283","4963 Taylor Summit, Grantport, NC 75283",High,False
ORD-09872152,1,2025-04-20T17:39:27,CUST-10754,jennifer.graham@hotmail.com,Phone,False,Silver,141.64,132.0,9.64,Credit Card,Two-Day,45.0,CSR-0012,34.91,3.3,"3382 Mallory Harbor Suite 179, Nicoleberg, SD 92555","3382 Mallory Harbor Suite 179, Nicoleberg, SD 92555",Low,False
ORD-80519916,4,2025-04-20T22:12:37,GUEST-101774,jacqueline69@example.net,Web,True,Platinum,1468.87,1427.56,41.31,Google Pay, Standard  ,5.0,ONLINE,4.06,28.55,"5601 Stacy Inlet, Port Elizabeth, VA 18308","5601 Stacy Inlet, Port Elizabeth, VA 18308",High,False
ORD-06877563,5,2025-04-21T08:40:58,CUST-7658,austin.burgess@yahoo.com,Phone,False,Platinum,1247.39,1247.39,0.0,PayPal,Standard,5.0,CSR-0016,4.0,37.42,"23152 Johnson Spurs Suite 948, West Stephenhaven, DE 03605","23152 Johnson Spurs Suite 948, West Stephenhaven, DE 03605",High,False
ORD-29651292,5,2025-04-21T11:26:44,CUST-6612,abigail.fuller@gmail.com,Ebay,False,Platinum,1366.52,1191.96,174.56,credit card,Two-Day,45.0,ONLINE,35.24,29.8,"439 Michael Bridge, New Ryan, AL 19408","439 Michael Bridge, New Ryan, AL 19408",High,False
ORD-81238907,2,2025-04-21T15:10:43,CUST-10899,dave.wilkins@hotmail.com,Phone,False,Gold,559.17,501.14,58.03,ACH,Standard,5.0,CSR-0010,4.2,5.01,"29501 Chandler Station, Port Angelaview, NM 45367","29501 Chandler Station, Port Angelaview, NM 45367",Medium,False
ORD-54904838,8,2025-04-21T21:33:09,CUST-7192,amanda.elliott@gmail.com,Web,False,Platinum,1057.07,986.94,70.13,Credit Card,Standard,5.0,ONLINE,4.63,24.67,"52467 Carol Circle Suite 473, Port Allisonstad, ID 45089","52467 Carol Circle Suite 473, Port Allisonstad, ID 45089",High,False
ORD-07656934,7,2025-04-21T22:25:23,CUST-10304,heidi.richards@yahoo.com,Phone,False,Gold,984.95,984.95,0.0,PayPal,Standard,5.0,CSR-0002,4.45,29.55,"642 Davidson Locks Apt. 421, Mooreburgh, NC 96028","642 Davidson Locks Apt. 421, Mooreburgh, NC 96028",High,False
ORD-24073083,1,2025-04-23T05:24:31,GUEST-100698,kaitlynprice@example.com,Ebay,False,Silver,247.34,227.8,19.54,PayPal,Standard,5.0,ONLINE,4.32,6.83,"USS Nelson, FPO AE 07011","USS Nelson, FPO AE 07011",Low,False
ORD-31375511,6,2025-04-23T06:41:49,GUEST-103628,brianmoore@example.net,Web,False,Platinum,1226.7,1179.9,46.8,ACH,Standard,5.0,ONLINE,3.83,11.8,"45711 Tyler Flat Apt. 945, New Juliaton, OK 77319","45711 Tyler Flat Apt. 945, New Juliaton, OK 77319",High,False
ORD-99694993,1,2025-04-23T06:58:59,CUST-7203,jennifer.nelson@gmail.com,Ebay,False,Bronze,21.32,17.66,3.66,Credit Card,Standard,5.0,ONLINE,4.84,0.44,"522 Nicole Burg, West Anthonychester, GA 78302","522 Nicole Burg, West Anthonychester, GA 78302",Low,False
