return_id,order_id,customer_id,email,return_date,reason,return_type,refunded_amount,return_channel,agent_id,refund_method
RTN-89421625,ORD-50555899,GUEST-103809,navarropaul@example.com,2025-04-27,Product did not match description, Refund ,409.84,Social Media,ONLINE,Credit Card
RTN-78713162,ORD-80519916,GUEST-101774,jacqueline69@example.net,2025-04-22,Arrived damaged,  Refund  ,1468.87,Web,ONLINE,Google Pay
RTN-10503218,ORD-80519916,GUEST-101774,jacqueline69@example.net,2025-05-14,damaged in transit,Refund,0.0,Web,ONLINE,Google Pay
RTN-70858135,ORD-06877563,CUST-7658,austin.burgess@yahoo.com,2025-06-11,Product did not match description,Refund,936.33,Phone,CSR-0016,PayPal
RTN-97926915,ORD-81238907,CUST-10899,dave.wilkins@hotmail.com,2025-04-26,Damaged in transit,Refund,208.72, Phone  ,CSR-0010,ACH
RTN-66440499,ORD-54904838,CUST-7192,amanda.elliott@gmail.com,2025-06-29,Wrong item,Refund,867.44,Web,ONLINE,Credit Card
RTN-00616986,ORD-07656934,CUST-10304,heidi.richards@yahoo.com,2025-08-11,Wrong item,Refund,941.28,Phone,CSR-0002,PayPal
RTN-78757858,ORD-24073083,GUEST-100698,kaitlynprice@example.com,2025-06-11,Item arrived late,Refund,247.34,Ebay,ONLINE,PayPal
RTN-91694722,ORD-99694993,CUST-7203,jennifer.nelson@gmail.com,2025-06-20,  Found a better price ,Refund,21.32,Ebay,ONLINE,Credit Card
RTN-89654248,ORD-86807050,CUST-8019,brandon.boyer@yahoo.com,2026-02-26,ARRIVED DAMAGED,Refund,1261.2,Web,ONLINE,Credit Card
RTN-93594423,ORD-86807050,CUST-8019,brandon.boyer@yahoo.com,2026-03-25,Item arrived late,Refund,0.0,Web,ONLINE,Credit Card
RTN-64787874,ORD-10773518,CUST-6343,anthony.trujillo@hotmail.com,2025-05-24,Found a better price,Refund,807.44,Web,ONLINE,PayPal
RTN-72319373,ORD-26846412,CUST-5395,derrick.harrison@gmail.com,2025-05-20, Wrong item  ,Refund,308.17, Phone ,,Credit Card
RTN-20288478,ORD-80568620,GUEST-102500,janice19@example.net,2025-06-23,Item arrived late,Refund,2498.53,Web,ONLINE,Credit Card
RTN-44174849,ORD-12920687,GUEST-102572,ramirezzachary@example.com,2025-05-22,Product did not match description,Refund,664.7,Phone,CSR-0004,PayPal
RTN-00703969,ORD-48753292,GUEST-102558,lellis@example.net,2025-05-23,Product did not match description,Refund,732.28,Web,ONLINE,Credit Card
RTN-98152706,ORD-89295678,CUST-9086,kelsey.gutierrez@gmail.com,2025-05-25,No longer needed,Refund,664.59,Web,ONLINE,Google Pay
RTN-18526624,ORD-07951406,CUST-6348,javier.hebert@gmail.com,2025-06-02,No longer needed,Refund,1203.81,Social Media,ONLINE,Credit Card
RTN-52522265,ORD-44728386,GUEST-102587,emoyer@example.org,2025-05-20,Item arrived late,Refund,230.49,Phone,CSR-0013,PayPal
RTN-84990770,ORD-93430697,GUEST-102678,emily76@example.net,2025-07-25,Found a better price,Refund,1353.76,Web,ONLINE,PayPal
RTN-95575796,ORD-89315847,CUST-7972,jasmine.perkins@yahoo.com,2025-05-25,Product did not match description,Refund,457.51,Ebay,ONLINE,Credit Card
RTN-61549241,ORD-05971125,CUST-8634,robert.david@hotmail.com,2025-05-29,Changed mind,Refund,669.04,Ebay,ONLINE,Credit Card
RTN-32682465,ORD-70239618,CUST-7637,sharon.velez@yahoo.com,2025-05-18,Product did not match description,Refund,842.84,NewEgg,ONLINE,PayPal
RTN-68358734,ORD-29062941,GUEST-102000,cruzerika@example.net,2025-07-02,Changed mind,Refund,176.62,Web,ONLINE,Credit Card
RTN-29802060,ORD-00755437,CUST-8922,julie.beck@gmail.com,2025-05-28,Defective,refund,349.44,Web,ONLINE,Credit Card
RTN-79328069,ORD-04789824,CUST-6418,earl.grant@hotmail.com,2025-05-12,Item arrived late,Refund,1794.52,  Web ,ONLINE,Credit Card
RTN-64524598,ORD-00736090,GUEST-103741,megan42@example.org,2025-05-16,Wrong item,Refund,1207.36,Web,ONLINE,PayPal
RTN-45001183,ORD-90101701,CUST-9726,steven.simmons@yahoo.com,2025-06-08,Changed mind,Refund,572.5, Ebay  ,ONLINE,Credit Card
RTN-72167506,ORD-09840034,GUEST-102852,michaelroberson@example.org,2025-05-31,No longer needed,Refund,69.68,Web,ONLINE,PayPal
RTN-08224883,ORD-75159115,GUEST-100267,rachelowens@example.org,2025-06-09,No longer needed,Refund,698.17,Ebay,ONLINE,Credit Card
RTN-72230102,ORD-89270707,CUST-5900,evan.sanders@yahoo.com,2025-05-22,Defective,Refund,960.34,Web,ONLINE,PayPal
RTN-20046393,ORD-46735788,GUEST-101245,wilsontanner@example.org,2025-06-17,Damaged in transit,Refund,1596.63,Phone,CSR-0007,Credit Card
RTN-37808576,ORD-46735788,GUEST-101245,wilsontanner@example.org,2025-07-03,Wrong item,Refund,114.32,Phone,CSR-0007,Credit Card
RTN-42505371,ORD-94011042,CUST-9468,emily.salazar@yahoo.com,2025-06-13,Item arrived late,REFUND,2768.52,Social Media,ONLINE,Credit Card
RTN-04749563,ORD-53518544,GUEST-102509,joshuaparsons@example.org,2025-05-27,Product did not match description,Refund,1599.7,Web,ONLINE,Credit Card
RTN-25119700,ORD-05576650,CUST-10769,kimberly.ortiz@yahoo.com,2025-06-24,No longer needed,Refund,719.51,Phone,CSR-0006,Google Pay
RTN-20588346,ORD-99034858,CUST-7465,nicholas.weber@hotmail.com,2025-07-28,Defective,Refund,409.5,Ebay,ONLINE,Credit Card
RTN-31700479,ORD-43393504,GUEST-102313,huffanthony@example.com,2025-06-30,Changed mind,Refund,124.94,Web,ONLINE,PayPal
RTN-50129603,ORD-23420802,CUST-11071,brandon.smith@gmail.com,2025-05-26,Damaged in transit,Refund,1209.22,Web,ONLINE,Apple Pay
RTN-29578100,ORD-25917727,CUST-5655,nicholas.ramsey@gmail.com,2025-06-17,Wrong item,Refund,804.17,Ebay,ONLINE,Credit Card
RTN-59064652,ORD-19764580,CUST-5782,tabitha.gentry@yahoo.com,2025-08-05,Arrived damaged,Refund,4697.07,Phone,CSR-0020,Credit Card
RTN-29456862,ORD-81113320,GUEST-101236,wbowen@example.org,2025-10-14,Found a better price,Refund,777.46,Web,ONLINE,PayPal
RTN-63253060,ORD-47833322,GUEST-101184,phelpsrussell@example.net,2025-05-30,Changed mind,Refund,759.1,Phone,CSR-0015,Credit Card
RTN-47016673,ORD-75021444,GUEST-100385,aguilarjoseph@example.org,2025-06-14,Product did not match description,Refund,1127.01,Web,ONLINE,PayPal
RTN-18467669,ORD-68419714,CUST-6757,connie.howard@yahoo.com,2025-06-12,Damaged in transit,Refund,317.54,NewEgg,ONLINE,Credit Card
RTN-09433288,ORD-17700214,CUST-6261,hayden.coleman@yahoo.com,2025-07-25,Defective,Refund,241.99,Web,ONLINE,Credit Card
RTN-55407822,ORD-07451952,CUST-9036,michael.west@hotmail.com,2025-06-22,No longer needed,Refund,375.8, Social Media  ,ONLINE,Credit Card
RTN-38217573,ORD-97715374,CUST-9566,kathleen.abbott@gmail.com,2025-06-24,Arrived damaged,Refund,3007.93,Social Media,ONLINE,Apple Pay
RTN-26752888,ORD-12249623,CUST-9507,michael.silva@yahoo.com,2025-07-17,Arrived Damaged,Refund,1305.06,NewEgg,ONLINE,Credit Card
RTN-86319605,ORD-42054670,CUST-10679,matthew.lee@yahoo.com,2025-08-14,Defective,Refund,1732.9,Phone,CSR-0001,Credit Card
RTN-86340905,ORD-72488609,CUST-6584,daniel.acosta@hotmail.com,2025-06-30,No longer needed,Refund,587.94,Social Media,ONLINE,Credit Card
RTN-84933063,ORD-25591222,GUEST-101052,hancockdalton@example.net,2025-06-24,Damaged in transit,Refund,1321.03, NewEgg ,ONLINE,Credit Card
RTN-82680560,ORD-25591222,GUEST-101052,hancockdalton@example.net,2025-06-27,No longer needed,Refund,0.0,NewEgg,ONLINE,Credit Card
RTN-78178701,ORD-24131878,CUST-5309,adrian.howe@hotmail.com,2025-06-16,Product did not match description,Refund,182.42,Web,ONLINE,Credit Card
RTN-76021586,ORD-57182478,CUST-9088,aaron.robinson@hotmail.com,2025-07-03,Arrived damaged,Refund,3228.98,Web,ONLINE,Credit Card
RTN-87436724,ORD-77437503,CUST-7225,christopher.daniels@hotmail.com,2025-07-12,Changed mind,Refund,887.61,Social Media,ONLINE,Credit Card
RTN-98975748,ORD-37724823,CUST-7144,william.valentine@hotmail.com,2025-06-12,Changed mind,Refund,137.4,Phone,CSR-0013,Credit Card
RTN-98704665,ORD-33193603,CUST-9963,david.williams@hotmail.com,2025-06-13,Damaged in transit,Refund,115.68,Web,ONLINE,Credit Card
RTN-55310059,ORD-25611603,GUEST-103773,dawnfields@example.net,2025-06-23,damaged in transit,Refund,2217.14,Social Media,ONLINE,Credit Card
RTN-74850985,ORD-25611603,GUEST-103773,dawnfields@example.net,2025-08-31,Product did not match description,Refund,0.0,Social Media,ONLINE,Credit Card
RTN-85275840,ORD-05612498,CUST-7869,kristy.castaneda@hotmail.com,2025-06-15,Wrong item,Refund,816.02,Web,ONLINE,Credit Card
RTN-34258606,ORD-05905919,CUST-5841,maria.curtis@yahoo.com,2025-06-16,Found a better price,Refund,1292.51,Ebay,ONLINE,ACH
RTN-63640209,ORD-71685007,CUST-9346,james.johnson@gmail.com,2025-06-13,Defective,Refund,1325.35,  Web  ,ONLINE,Credit Card
RTN-82832164,ORD-20954273,GUEST-100099,dcarter@example.net,2025-06-25,Product did not match description,Refund,900.25,Social Media,ONLINE,Apple Pay
RTN-53255304,ORD-41935994,CUST-7791,sarah.brown@gmail.com,2025-06-26,Arrived damaged,Refund,4218.89,Phone,CSR-0020,PayPal
RTN-69916641,ORD-82232706,GUEST-103810,wmann@example.org,2025-07-12,Item arrived late,Refund,201.99,Phone,CSR-0015,Credit Card
RTN-25045483,ORD-16611683,CUST-10963,katherine.ferrell@gmail.com,2025-07-12,Found a better price,Refund,3225.26,Web,ONLINE,Credit Card
RTN-11572140,ORD-55852219,CUST-7984,isaac.randolph@gmail.com,2025-06-26,damaged in transit,Refund,2608.78,Social Media,ONLINE,Credit Card
RTN-37042252,ORD-56818293,CUST-8852,shannon.allen@yahoo.com,2025-06-19,No longer needed,REFUND,658.23,Web,ONLINE,Credit Card
RTN-25235871,ORD-56818293,CUST-8852,shannon.allen@yahoo.com,2025-07-12,Item arrived late,refund,0.0,WEB,ONLINE,Credit Card
RTN-21651018,ORD-58290228,CUST-10028,melvin.kelly@gmail.com,2025-07-02,Wrong item,Refund,1448.44,Web,ONLINE,ACH
RTN-35849376,ORD-55897325,CUST-8953,joel.watkins@gmail.com,2025-06-29,Arrived damaged,Refund,608.78,Phone,CSR-0007,Credit Card
RTN-32853375,ORD-52273427,GUEST-102589,nhendricks@example.com,2025-06-28,Product did not match description, Refund ,2702.09,Phone,CSR-0013,ACH
RTN-26374933,ORD-41378707,CUST-5985,henry.gould@hotmail.com,2025-07-15,No longer needed,Refund,78.72,Web,ONLINE,Apple Pay
RTN-32374209,ORD-62976470,CUST-6273,jennifer.woods@gmail.com,2025-06-21,Changed mind,Refund,73.92,Ebay,ONLINE,PayPal
RTN-91408739,ORD-10117684,CUST-5710,tanner.singh@gmail.com,2025-08-18,Changed mind,Refund,759.04,Web,ONLINE,Credit Card
RTN-49668387,ORD-10117684,CUST-5710,tanner.singh@gmail.com,2025-09-05,Product did not match description,Refund,1123.68,Web,ONLINE,Credit Card
RTN-48154421,ORD-21090545,GUEST-100350,rreed@example.net,2025-07-08,Changed mind,Refund,1362.87,Phone,CSR-0013,Credit Card
